year,mmwr_week,siteID,lifeStage,scientificName,n,ind_w_larval_ticks,ind_w_nymphal_ticks,ind_w_adult_ticks
2013,28,OSBS,adult,Peromyscus gossypinus,5,0,0,0
2013,28,OSBS,adult,Podomys floridanus,2,0,0,0
2013,28,OSBS,adult,Sigmodon hispidus,1,0,0,0
2013,28,OSBS,subadult,Peromyscus gossypinus,3,0,0,0
2013,28,OSBS,subadult,Sigmodon hispidus,1,0,0,0
2013,28,OSBS,unknown,Peromyscus gossypinus,3,0,0,0
2013,28,OSBS,unknown,Podomys floridanus,1,0,0,0
2013,28,OSBS,unknown,Sigmodon hispidus,1,0,0,0
2013,33,OSBS,adult,Peromyscus gossypinus,1,0,0,0
2013,33,OSBS,adult,Podomys floridanus,17,0,0,0
2013,33,OSBS,subadult,Peromyscus gossypinus,1,0,0,0
2013,33,OSBS,subadult,Podomys floridanus,2,0,0,0
2013,35,OSBS,adult,Peromyscus gossypinus,8,0,0,0
2013,35,OSBS,adult,Podomys floridanus,12,0,0,0
2013,35,OSBS,subadult,Peromyscus gossypinus,1,0,0,0
2013,37,OSBS,adult,Glaucomys volans,1,0,0,0
2013,37,OSBS,adult,Peromyscus gossypinus,3,0,0,0
2013,37,OSBS,adult,Podomys floridanus,29,0,0,0
2013,37,OSBS,adult,Sigmodon hispidus,6,0,0,0
2013,37,OSBS,juvenile,Podomys floridanus,2,0,0,0
2013,37,OSBS,subadult,Peromyscus gossypinus,3,0,0,0
2013,37,OSBS,NA,Peromyscus sp.,1,0,0,0
2013,40,OSBS,adult,Peromyscus gossypinus,12,0,0,0
2013,40,OSBS,adult,Podomys floridanus,9,0,0,0
2014,17,OSBS,adult,Glaucomys volans,1,0,0,0
2014,17,OSBS,adult,Peromyscus gossypinus,1,0,0,0
2014,17,OSBS,adult,Podomys floridanus,11,0,0,0
2014,17,OSBS,juvenile,Peromyscus gossypinus,2,0,0,0
2014,17,OSBS,juvenile,Podomys floridanus,2,0,0,0
2014,17,OSBS,NA,NA,1,0,0,0
2014,21,OSBS,adult,Podomys floridanus,10,0,0,0
2014,21,OSBS,juvenile,Peromyscus gossypinus,1,0,0,0
2014,22,ORNL,adult,Peromyscus leucopus,1,0,0,0
2014,22,ORNL,adult,Peromyscus sp.,14,0,0,0
2014,22,ORNL,adult,Sigmodon hispidus,2,0,0,0
2014,22,ORNL,juvenile,Peromyscus maniculatus,1,0,0,0
2014,22,ORNL,juvenile,Peromyscus sp.,2,0,0,0
2014,22,ORNL,unknown,Peromyscus sp.,1,0,0,0
2014,22,SCBI,adult,Microtus pennsylvanicus,2,0,0,0
2014,22,SCBI,adult,Peromyscus leucopus,10,0,0,0
2014,22,SCBI,adult,Zapus hudsonius,1,0,0,0
2014,22,SCBI,subadult,Peromyscus leucopus,4,0,0,0
2014,22,SCBI,NA,Blarina brevicauda,3,0,0,0
2014,22,SCBI,NA,Microtus pennsylvanicus,1,0,0,0
2014,22,SCBI,NA,Peromyscus leucopus,1,0,0,0
2014,22,TALL,adult,Peromyscus gossypinus,1,0,0,0
2014,22,TALL,adult,Peromyscus leucopus,2,0,0,0
2014,22,TALL,NA,Peromyscus leucopus,1,0,0,0
2014,23,ORNL,adult,Peromyscus sp.,10,0,0,0
2014,23,ORNL,juvenile,Peromyscus sp.,1,0,0,0
2014,23,ORNL,subadult,Peromyscus sp.,1,0,0,0
2014,23,SCBI,adult,Microtus pennsylvanicus,2,0,0,0
2014,23,SCBI,adult,Peromyscus leucopus,7,0,0,0
2014,23,SCBI,adult,Zapus hudsonius,4,0,0,0
2014,23,SCBI,juvenile,Microtus pennsylvanicus,2,0,0,0
2014,23,SCBI,juvenile,Peromyscus leucopus,1,0,0,0
2014,23,SCBI,subadult,Peromyscus leucopus,2,0,0,0
2014,23,TALL,adult,Peromyscus gossypinus,1,0,0,0
2014,23,TALL,adult,Peromyscus leucopus,7,0,0,0
2014,23,TALL,adult,Peromyscus polionotus,1,0,0,0
2014,23,TALL,juvenile,Peromyscus leucopus,1,0,0,0
2014,23,TALL,unknown,Cryptotis parva,1,0,0,0
2014,23,TALL,unknown,Peromyscus leucopus,2,0,0,0
2014,25,OSBS,adult,Ochrotomys nuttalli,2,0,0,0
2014,25,OSBS,adult,Peromyscus gossypinus,1,0,0,0
2014,25,OSBS,adult,Podomys floridanus,29,0,0,0
2014,25,OSBS,adult,Sigmodon hispidus,4,0,0,0
2014,25,OSBS,juvenile,Sigmodon hispidus,1,0,0,0
2014,25,OSBS,subadult,Peromyscus gossypinus,2,0,0,0
2014,25,OSBS,subadult,Podomys floridanus,3,0,0,0
2014,25,OSBS,unknown,Glaucomys volans,2,0,0,0
2014,26,ORNL,adult,Peromyscus sp.,16,0,0,0
2014,26,ORNL,juvenile,Peromyscus sp.,1,0,0,0
2014,26,ORNL,subadult,Peromyscus sp.,1,0,0,0
2014,26,ORNL,unknown,Peromyscus sp.,1,0,0,0
2014,26,ORNL,NA,Blarina brevicauda,1,0,0,0
2014,26,SCBI,adult,Blarina brevicauda,1,0,0,0
2014,26,SCBI,adult,Microtus pennsylvanicus,2,0,0,0
2014,26,SCBI,adult,Mus musculus,1,0,0,0
2014,26,SCBI,adult,Peromyscus leucopus,30,0,0,0
2014,26,SCBI,juvenile,Mus musculus,1,0,0,0
2014,26,SCBI,subadult,Mus musculus,1,0,0,0
