siteID,nlcdClass,decimalLatitude,decimalLongitude,elevation,totalSampledArea,remarks
SCBI,deciduousForest,38.901865,-78.161944,261.6,NA,Plot too thorny to meet minimum sampling area requirement
LENO,woodyWetlands,31.817828,-88.182885,15,NA,Only 45-50m of dry area
OSBS,woodyWetlands,29.704063,-82.008061,34.4,NA,COVID19
OSBS,evergreenForest,29.683403,-81.960448,41.8,NA,COVID19
OSBS,evergreenForest,29.703656,-81.958372,35,NA,COVID19
OSBS,mixedForest,29.688556,-81.970004,38.6,NA,COVID19
OSBS,woodyWetlands,29.678312,-82.015674,29.7,NA,COVID19
OSBS,deciduousForest,29.678818,-81.947792,36.9,NA,COVID19
OSBS,evergreenForest,29.683403,-81.960448,41.8,NA,COVID19
OSBS,deciduousForest,29.678818,-81.947792,36.9,NA,COVID19
OSBS,woodyWetlands,29.704063,-82.008061,34.4,NA,COVID19
OSBS,mixedForest,29.688556,-81.970004,38.6,NA,COVID19
OSBS,woodyWetlands,29.678312,-82.015674,29.7,NA,COVID19
OSBS,evergreenForest,29.703656,-81.958372,35,NA,COVID19
LENO,woodyWetlands,31.822384,-88.181964,12.6,NA,COVID19
LENO,deciduousForest,31.809574,-88.18756,13.2,NA,COVID19
LENO,deciduousForest,31.80946,-88.181413,11.3,NA,COVID19
LENO,woodyWetlands,31.806282,-88.195217,16.7,NA,COVID19
LENO,woodyWetlands,31.817828,-88.182885,15,NA,COVID19
LENO,woodyWetlands,31.8173,-88.19149,12.1,NA,COVID19
LENO,deciduousForest,31.80946,-88.181413,11.3,NA,COVID19
LENO,woodyWetlands,31.822384,-88.181964,12.6,NA,COVID19
LENO,woodyWetlands,31.806282,-88.195217,16.7,NA,COVID19
LENO,woodyWetlands,31.817828,-88.182885,15,NA,COVID19
LENO,deciduousForest,31.809574,-88.18756,13.2,NA,COVID19
LENO,woodyWetlands,31.8173,-88.19149,12.1,NA,COVID19
UKFS,deciduousForest,39.037238,-95.19863,321.9,NA,COVID19
UKFS,grasslandHerbaceous,39.045116,-95.213433,321.2,NA,COVID19
UKFS,grasslandHerbaceous,39.053205,-95.194658,324.8,NA,COVID19
UKFS,deciduousForest,39.043188,-95.201,319.4,NA,COVID19
UKFS,deciduousForest,39.053769,-95.187084,322.4,NA,COVID19
UKFS,deciduousForest,39.045893,-95.207026,315.3,NA,COVID19
SERC,deciduousForest,38.896257,-76.55818,17.3,NA,Prolonged moisture retention
LENO,woodyWetlands,31.817828,-88.182885,15,NA,More than 50 percent of plot under water.
LENO,deciduousForest,31.80946,-88.181413,11.3,NA,More than 50 percent of plot under water.
LENO,deciduousForest,31.80946,-88.181413,11.3,NA,COVID-19
LENO,woodyWetlands,31.8173,-88.19149,12.1,NA,COVID19
LENO,deciduousForest,31.809574,-88.18756,13.2,NA,COVID-19
LENO,woodyWetlands,31.817828,-88.182885,15,NA,COVID-19
LENO,woodyWetlands,31.822384,-88.181964,12.6,NA,COVID-19
LENO,woodyWetlands,31.806282,-88.195217,16.7,NA,COVID-19
SCBI,deciduousForest,38.901865,-78.161944,261.6,NA,COVID19
SCBI,pastureHay,38.897079,-78.150277,277.5,NA,COVID19
SCBI,deciduousForest,38.873041,-78.163313,361.3,NA,COVID19
SCBI,deciduousForest,38.893863,-78.1427,329,NA,COVID19
SCBI,deciduousForest,38.86574,-78.16312,361.9,NA,COVID19
SCBI,deciduousForest,38.886022,-78.129368,427.4,NA,COVID19
SCBI,deciduousForest,38.901865,-78.161944,261.6,NA,Wet
LENO,woodyWetlands,31.817828,-88.182885,15,NA,Flooded
LENO,woodyWetlands,31.817828,-88.182885,15,NA,NA
SCBI,deciduousForest,38.86574,-78.16312,361.9,NA,COVID19
SCBI,deciduousForest,38.873041,-78.163313,361.3,NA,COVID19
SCBI,deciduousForest,38.886022,-78.129368,427.4,NA,COVID19
SCBI,pastureHay,38.897079,-78.150277,277.5,NA,COVID19
